scenario_id,accident_year,expected_loss_prior_ultimate,pricing_assumption_version,paid_to_date,estimated_reserve,estimated_ultimate,prior_exhausted,basis,model,true_reserve,simulation_id,seed,tail_type,inflation_scenario,structural_break,clause_type,signed_error
short_stable_no_break,2010,86443353.24362053,pricing_mc_v1,64815699.59801878,21627653.64560175,86443353.24362053,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,21627653.64560175
short_stable_no_break,2011,89501387.97413269,pricing_mc_v1,70160279.21683183,19341108.757300854,89501387.97413269,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,19341108.757300854
short_stable_no_break,2012,92821280.32590528,pricing_mc_v1,80927933.28229195,11893347.04361333,92821280.32590528,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,11893347.04361333
short_stable_no_break,2013,97219172.94710933,pricing_mc_v1,75934843.81853539,21284329.12857394,97219172.94710933,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,21284329.12857394
short_stable_no_break,2014,100714210.71215343,pricing_mc_v1,83989067.8404093,16725142.871744141,100714210.71215343,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,16725142.871744141
short_stable_no_break,2015,104555715.13205469,pricing_mc_v1,89340642.26263417,15215072.869420514,104555715.13205469,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,15215072.869420514
short_stable_no_break,2016,108170412.59938948,pricing_mc_v1,104414810.67667904,3755601.9227104336,108170412.59938948,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,3755601.9227104336
short_stable_no_break,2017,113212500.65963858,pricing_mc_v1,100769464.14767726,12443036.511961326,113212500.65963858,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,12443036.511961326
short_stable_no_break,2018,117652811.81286904,pricing_mc_v1,124584589.53124264,0.0,124584589.53124264,True,gross,expected_loss,0.0,1,20260817,short,stable,False,none,0.0
short_stable_no_break,2019,121431102.18952312,pricing_mc_v1,104887644.12151915,16543458.068003967,121431102.18952312,False,gross,expected_loss,0.0,1,20260817,short,stable,False,none,16543458.068003967
short_stable_no_break,2020,128230977.8730076,pricing_mc_v1,74100969.1653734,54130008.707634196,128230977.8730076,False,gross,expected_loss,197139.80620840323,1,20260817,short,stable,False,none,53932868.901425794
short_stable_no_break,2021,132934211.35267717,pricing_mc_v1,100686219.19743189,32247992.155245274,132934211.35267717,False,gross,expected_loss,1006003.6634636717,1,20260817,short,stable,False,none,31241988.491781604
